Classe;n_contorno;Área;Diâmetro;Minor;Diretorio;Imagem
;2;1545,0;6,005960538612905;4,606266840617432;.\originalGrayDataset;0235.png
;0;9222,5;12,829854494082394;5,089310321795584;.\originalGrayDataset;0239.png
;1;3924,0;4,093338188813542;1,563516060678839;.\originalGrayDataset;0239.png
;2;3211,5;2,309401076758503;1,333333333333333;.\originalGrayDataset;0239.png
;0;38,5;3,098386676965933;1,788854381999832;.\originalGrayDataset;0243.png
;1;12,0;6,476553910947835;2,549253593315255;.\originalGrayDataset;0243.png
;2;10,5;3,265986323710904;2,0;.\originalGrayDataset;0243.png
;0;6829,0;7,554371880072024;1,975317619716008;.\originalGrayDataset;0250.png
;1;124,0;12,453547696545511;3,440092869300788;.\originalGrayDataset;0250.png
;2;109,5;4,47213595499958;2,0;.\originalGrayDataset;0250.png
;0;6995,0;5,606119105813881;3,023715784073818;.\originalGrayDataset;0254.png
;1;130,0;3,23606797749979;1,23606797749979;.\originalGrayDataset;0254.png
;2;15,0;7,049811475828224;1,786818440343553;.\originalGrayDataset;0254.png
;0;103,0;21,53470507808633;7,604619341540547;.\originalGrayDataset;0255.png
;1;16,5;6,449983629915197;2,908596464972101;.\originalGrayDataset;0255.png
;2;16,5;3,098386676965933;1,788854381999832;.\originalGrayDataset;0255.png
;0;49,0;5,133805351608393;1,542315301534688;.\originalGrayDataset;0264.png
;1;14,5;3,648665604076859;2,505808461219717;.\originalGrayDataset;0264.png
;2;3,5;4,634736211286691;1,826347935745029;.\originalGrayDataset;0264.png
;0;3450,0;5,722062231348572;1,898336859706381;.\originalGrayDataset;0266.png
;1;45,5;2,309401076758503;1,333333333333333;.\originalGrayDataset;0266.png
;2;38,0;3,098386676965933;1,788854381999832;.\originalGrayDataset;0266.png
;0;22,0;4,727145333758743;2,15733562375513;.\originalGrayDataset;0271.png
;1;12,0;7,44666030350869;2,532571221271879;.\originalGrayDataset;0271.png
;2;7,5;9,977227457146682;2,873427423986962;.\originalGrayDataset;0271.png
;0;172,5;4,743365517193277;1,349252967497849;.\originalGrayDataset;0276.png
;1;161,0;7,000091071529563;1,904422265109768;.\originalGrayDataset;0276.png
;2;18,0;5,23606797749979;0,76393202250021;.\originalGrayDataset;0276.png
;0;304,0;3,098386676965933;1,788854381999832;.\originalGrayDataset;0277.png
;1;22,5;2,309401076758503;1,333333333333333;.\originalGrayDataset;0277.png
;2;7,0;4,155374705678736;1,905471133100374;.\originalGrayDataset;0277.png
;0;65,5;9,820574028468414;2,732329190182957;.\originalGrayDataset;0296.png
;1;33,0;9,277943267775708;2,022042929520614;.\originalGrayDataset;0296.png
;2;18,0;11,337173838641483;2,754721283981946;.\originalGrayDataset;0296.png
;0;107,5;3,464101615137754;1,414213562373095;.\originalGrayDataset;0298.png
;1;36,5;12,621503595670143;10,118784301724007;.\originalGrayDataset;0298.png
;2;6,0;5,23606797749979;0,76393202250021;.\originalGrayDataset;0298.png
;0;246,0;3,098386676965933;1,788854381999832;.\originalGrayDataset;0314.png
;1;32,0;3,098386676965933;1,788854381999832;.\originalGrayDataset;0314.png
;2;3,0;5,656854249492381;2,0;.\originalGrayDataset;0314.png
;0;258,0;11,408070291908563;1,583980252201086;.\originalGrayDataset;0319.png
;1;242,0;2,309401076758503;1,333333333333333;.\originalGrayDataset;0319.png
;2;220,0;4,27617987059879;2,285714285714286;.\originalGrayDataset;0319.png
;0;1056,0;6,791134621996741;2,84027414391355;.\originalGrayDataset;0383.png
;1;974,5;3,098386676965933;1,788854381999832;.\originalGrayDataset;0383.png
;2;124,5;12,900712821231403;3,794734650931421;.\originalGrayDataset;0383.png
;0;325,5;3,829708431025352;1,885618083164126;.\originalGrayDataset;0385.png
;1;119,0;3,464101615137754;1,414213562373095;.\originalGrayDataset;0385.png
;2;40,0;3,23606797749979;1,23606797749979;.\originalGrayDataset;0385.png
;0;1007,0;5,28447687855656;2,018490554845656;.\originalGrayDataset;0386.png
;1;6,0;5,978837729339283;2,475892286854505;.\originalGrayDataset;0386.png
;2;2,5;2,309401076758503;1,333333333333333;.\originalGrayDataset;0386.png
